transaction_id,date,invoice_no,vendor,category,department,description,budget,amount,payment_method
TXN0001,2026-01-05,INV-1001,Alpha Office Supplies,Office,Admin,Stationery purchase,45000,42500,Bank
TXN0002,2026-01-08,INV-1002,Beta Logistics,Transport,Operations,Local delivery expense,70000,73500,Bank
TXN0003,2026-01-14,INV-1003,Gamma Utilities,Utilities,Factory,Electricity and utilities,180000,172500,Bank
TXN0004,2026-01-20,INV-1004,Delta IT Solutions,IT,IT,Software support,95000,101000,Bank
TXN0005,2026-02-03,INV-1005,Alpha Office Supplies,Office,Admin,Printing supplies,40000,38500,Bank
TXN0006,2026-02-09,INV-1006,Beta Logistics,Transport,Operations,Freight expense,85000,92000,Bank
TXN0007,2026-02-16,INV-1007,Gamma Utilities,Utilities,Factory,Water and utilities,175000,181500,Bank
TXN0008,2026-02-25,INV-1008,Delta IT Solutions,IT,IT,ERP support,105000,103500,Bank
TXN0009,2026-03-04,INV-1009,Epsilon Maintenance,Maintenance,Factory,Machine maintenance,150000,164000,Bank
TXN0010,2026-03-10,INV-1010,Zeta Professional Services,Professional,Finance,Consultancy fee,125000,118000,Bank
TXN0011,2026-03-15,INV-1011,Epsilon Maintenance,Maintenance,Factory,Preventive maintenance,140000,136500,Bank
TXN0012,2026-03-22,INV-1012,Zeta Professional Services,Professional,Finance,Accounting advisory,110000,129000,Bank
TXN0013,2026-04-02,INV-1013,Alpha Office Supplies,Office,Admin,Office supplies,50000,47000,Card
TXN0014,2026-04-08,INV-1014,Beta Logistics,Transport,Operations,Freight expense,90000,87000,Bank
TXN0015,2026-04-17,INV-1015,Gamma Utilities,Utilities,Factory,Electricity and utilities,190000,205000,Bank
TXN0016,2026-04-23,INV-1016,Delta IT Solutions,IT,IT,Cloud services,115000,112500,Bank
TXN0017,2026-05-05,INV-1017,Epsilon Maintenance,Maintenance,Factory,Emergency repair,100000,149000,Bank
TXN0018,2026-05-11,INV-1018,Zeta Professional Services,Professional,Finance,Tax advisory,120000,116000,Bank
TXN0019,2026-05-19,INV-1019,Alpha Office Supplies,Office,Admin,Stationery purchase,45000,43500,Bank
TXN0020,2026-05-26,INV-1020,Beta Logistics,Transport,Operations,Freight expense,95000,97000,Bank
TXN0021,2026-06-04,INV-1021,Gamma Utilities,Utilities,Factory,Utilities expense,195000,188000,Bank
TXN0022,2026-06-10,INV-1022,Delta IT Solutions,IT,IT,ERP support,110000,108000,Bank
TXN0023,2026-06-18,INV-1023,Epsilon Maintenance,Maintenance,Factory,Machine repair,145000,151500,Bank
TXN0024,2026-06-24,INV-1024,Zeta Professional Services,Professional,Finance,Consultancy fee,130000,127500,Bank
TXN0025,2026-06-24,INV-1024,Zeta Professional Services,Professional,Finance,Consultancy fee duplicate entry,130000,127500,Bank
